Model,Accuracy,Precision,Recall,F1,AUC
Random Search GB,0.8325819672131147,0.7749448123620309,0.6095676332696649,0.6823792399650112,0.8940815239961024
Basic NN,0.8016905737704918,0.7102449888641426,0.5537419690918562,0.6223046150843985,0.8515659271663948
Grid Search RF,0.8098360655737705,0.7652241513345426,0.5127626324014586,0.6140569765023913,0.8701302482300257
L2 Regularized NN,0.7995901639344263,0.7141697588126159,0.5347282514325403,0.6115579386356866,0.8400418073408802
Dropout NN,0.8052254098360656,0.7505120327700973,0.5090293453724605,0.6066218313502328,0.8528653738046044
